candidate_index,parsed_ok_pairs,total_pairs,mean_cell_accuracy,all_pairs_100,note
0,3,3,85.6145,False,
1,3,3,87.1232,False,
2,3,3,63.1867,False,
3,3,3,85.2577,False,
4,3,3,82.2343,False,
5,3,3,85.8503,False,
