candidate_index,parsed_ok_pairs,total_pairs,mean_cell_accuracy,all_pairs_100,note
0,3,3,84.2152,False,
1,3,3,85.6335,False,
2,3,3,76.2934,False,
3,3,3,87.4853,False,
4,3,3,82.0988,False,
5,3,3,76.94,False,
