candidate_index,parsed_ok_pairs,total_pairs,mean_cell_accuracy,all_pairs_100,note
0,3,3,18.75,False,
1,3,3,24.9981,False,
2,3,3,19.6663,False,
3,3,3,14.321,False,
4,3,3,43.8059,False,
5,3,3,3.7037,False,
