candidate_index,parsed_ok_pairs,total_pairs,mean_cell_accuracy,all_pairs_100,note
0,3,3,31.3333,False,
1,3,3,37.0,False,
2,3,3,67.0,False,
3,3,3,77.3333,False,
4,3,3,77.6667,False,
5,3,3,78.0,False,
