candidate_index,parsed_ok_pairs,total_pairs,mean_cell_accuracy,all_pairs_100,note
0,3,3,32.1667,False,
1,3,3,9.6667,False,
2,3,3,0.0,False,
3,3,3,34.6667,False,
4,3,3,0.0,False,
5,3,3,18.3333,False,
